wgt_fx,wgt_fx_theta,ml_theta1,ml_theta2,ml_theta3,ml_theta4,alg,0,1,2,3,4
0,0.1,100,0,2,0,0,1.090228936960883,1.3290023881563788,1.0048239099164227,1.1954587450383096,1.3201759387628378
0,0.1,100,0,2,1,0,1.0747705514872685,1.3811519400951695,1.021767489170462,1.1977176396947937,1.3106466548991345
0,0.1,100,0,4,0,0,1.0448761462645746,1.2449558961894227,1.0168411680242158,1.1718526633815305,1.269816906853226
0,0.1,100,0,4,1,0,1.0563630289586137,1.2472760858236103,1.0186630791600966,1.1475007947968034,1.2584689112844392
0,0.1,100,0,6,0,0,1.0675733415671464,1.1653350493486876,0.966949885310608,1.078751589405546,1.2418998279420752
0,0.1,100,0,6,1,0,1.0826322514777027,1.2007843104836449,0.9700550881905686,1.0723634394000563,1.2364323767801368
0,0.1,100,0,8,0,0,1.0999791108503123,1.1426364317180289,0.9301945201166147,1.0109160549076015,1.1959207390848234
0,0.1,100,0,8,1,0,1.0725766919016324,1.1820583887003755,0.942128129398999,1.0151370590390871,1.2331896928621053
0,0.1,100,1,2,0,0,1.0514686716942307,1.346610358445081,1.000805332187922,1.1898314064124018,1.304655519904204
0,0.1,100,1,2,1,0,1.0444338539236646,1.2870551657600224,1.005416619428834,1.2003614550763069,1.3328594021653006
0,0.1,100,1,4,0,0,1.0453342498610536,1.2325190555996217,1.009909775942222,1.1554290198294916,1.2938693187531094
0,0.1,100,1,4,1,0,1.0358954674835386,1.1920988780569077,1.0012672160938265,1.1443804832523259,1.2735457487927995
0,0.1,100,1,6,0,0,1.0403033711593073,1.177474796822838,0.9775575783781735,1.0768651674344338,1.2341649902187242
0,0.1,100,1,6,1,0,1.0536976091239316,1.1377454254704964,0.9684171951581287,1.0658119856053632,1.265402590935927
0,0.1,100,1,8,0,0,1.0298420933333448,1.14108154371642,0.959793240810336,1.0332763021935654,1.2330600678123043
0,0.1,100,1,8,1,0,1.0458887746843328,1.120532690672784,0.9525637145448465,1.0202695774190367,1.2220487416623125
0,0.1,100,2,2,0,0,1.033696870179042,1.3394871686615177,1.014124451998066,1.2222092063090233,1.3569893545608585
0,0.1,100,2,2,1,0,1.0359790450654607,1.318072140758161,0.9935737825874283,1.209984344984382,1.3257390659816881
0,0.1,100,2,4,0,0,1.0288560841053287,1.2469483331853584,0.9791359357724206,1.1516152360905396,1.2641798921185576
0,0.1,100,2,4,1,0,1.0218954835740266,1.2263706238752856,0.9794847342652904,1.14147750820204,1.2623630721916252
0,0.1,100,2,6,0,0,1.0373669798634177,1.1664080961819205,0.9768985835935634,1.1049559674979583,1.2828550827561744
0,0.1,100,2,6,1,0,1.0436860858767583,1.1823051143422987,0.9655318437561801,1.0881195904150436,1.2386891302304752
0,0.1,100,2,8,0,0,1.042399632964799,1.1669077450337173,0.9642131595898825,1.0480685770194065,1.2288915246185164
0,0.1,100,2,8,1,0,1.0456543704807826,1.1458961607533722,0.9570942748255287,1.0461456948412522,1.2532170550526844
0,0.1,150,0,2,0,0,1.074236072731437,1.3536956153662765,1.045551260336976,1.1683844733130362,1.3232364657322446
0,0.1,150,0,2,1,0,1.0647529007196759,1.4057825970218225,1.0110884002173963,1.1874954064101158,1.3236751813702938
0,0.1,150,0,4,0,0,1.058664494199485,1.273942535837613,1.0037120367330366,1.1189348398088022,1.260479576810157
0,0.1,150,0,4,1,0,1.061084379351532,1.2460449287255941,1.0080872392836577,1.1385754665402474,1.2643881464205824
0,0.1,150,0,6,0,0,1.039367640317288,1.2273193927636759,0.9613376458423396,1.0550571182899868,1.2669225283657661
0,0.1,150,0,6,1,0,1.051774271529827,1.2000402057141413,0.9583729897412072,1.060600930282107,1.2510681017477252
0,0.1,150,0,8,0,0,1.0832676104176115,1.2149043442412224,0.9401210543583912,1.0400774439582512,1.2062877984248948
0,0.1,150,0,8,1,0,1.0735434095185221,1.1674015424274318,0.9646911129755259,1.0110677111416346,1.1995051520920328
0,0.1,150,1,2,0,0,1.0447750143375574,1.3232621426101145,1.026365494743797,1.1601203826479436,1.2974306060930463
0,0.1,150,1,2,1,0,1.0413340108282638,1.3231998716289413,1.0272556084408064,1.2037168200754458,1.3112163207594418
0,0.1,150,1,4,0,0,1.0247961070794351,1.228104979792509,1.0109284301559167,1.1263966225624211,1.2902222396195606
