wgt_fx,wgt_fx_theta,ml_theta1,ml_theta2,ml_theta3,ml_theta4,alg,0,1,2,3,4
0,0.1,100,0,2,0,0,1.0250489538742884,1.1117707454687253,0.9019271431713556,1.0336716561244403,1.1157489617197192
0,0.1,100,0,2,1,0,1.0199406085518137,1.0656649688830155,0.9371279569790963,1.0388075030418211,1.090861664535847
0,0.1,100,0,4,0,0,0.9944303895579037,1.036201675055758,0.9017818064748073,0.9270316067414403,1.1288003331798653
0,0.1,100,0,4,1,0,0.9846743648072138,1.0434763394959528,0.905324957847693,0.934005441562559,1.105855174165712
0,0.1,100,0,6,0,0,0.9404293380030884,1.0371345363930142,0.8559765866032273,0.9653449299932112,1.1504398339248667
0,0.1,100,0,6,1,0,0.9659059490402168,1.0226876458842562,0.8784852979094814,0.9260718153982433,1.1050677065826564
0,0.1,100,0,8,0,0,0.9460631495834186,1.0134943590194876,0.8920977557400706,0.9210650982925971,1.1087049568949787
0,0.1,100,0,8,1,0,0.957069827975349,1.0239924802572304,0.874443415639803,0.9320260570178889,1.1548779748751428
0,0.1,100,1,2,0,0,1.0069970978020775,1.0830817036692117,0.9327007238078306,1.0046534637041495,1.0973382890727352
0,0.1,100,1,2,1,0,1.0115405891195886,1.0877243247563746,0.9115692333615957,0.9892074582425141,1.079029664448653
0,0.1,100,1,4,0,0,0.9913789745598545,1.064888201473229,0.9024277813461122,0.9842494479555709,1.126944960347107
0,0.1,100,1,4,1,0,0.962818818102111,1.0469903336058186,0.8826578750373775,0.9920647539499394,1.1448389065846338
0,0.1,100,1,6,0,0,0.9506661761753991,1.0317898773173217,0.9088156331971963,0.9331903107762154,1.1286283408895683
0,0.1,100,1,6,1,0,0.9705215026691688,1.0498647527660474,0.9099926130060655,0.9036931264944927,1.1827776976321815
0,0.1,100,1,8,0,0,0.9353084258245653,1.027607587015826,0.8573609127905281,0.9234894747738484,1.1226997799378486
